#
#	Japanese NetHack Copyright (c) Issei Numata 2000
#	For 3.4, (c) Kentaro Shirakata 2003-2004
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese objects transfer table
#
#	missiles
#
)arrow:			矢:
dThe Abandoned Castle:	捨てられた城:
dThe Sunless Sea:	暗闇の海:
dThe Dragon Cave:	竜の巣:
#
# Symbols or other things name (this is not a object name (See: drawing.c))
#
Sremembered, unseen, creature:		覚えているが見えていない生物:
#
Sstrange object:			奇妙な物体:
Sweapon:				武器:
Ssuit or piece of armor:		服または鎧のたぐい:
Sring:					指輪:
Samulet:				魔除け:
Suseful item (pick-axe, key, lamp...):	便利な道具(つるはし，鍵，ランプ…):
Spiece of food:				食料:
Spotion:				薬:
Sscroll:				巻物:
Sspell book:				魔法の本:
Sspellbook:				魔法の本:
Swand:					杖:
Spile of coins:				金貨の山:
Sgem or rock:				宝石または石:
Sboulder or statue:			岩または像:
Siron ball:				鉄球:
Siron chain:				鉄の鎖:
Ssplash of venom:			毒液:
#
Sillegal objects:	奇妙な物体:
Sweapons:		武器:
Sarmor:			鎧:
Srings:			指輪:
Samulets:		魔除け:
Stools:			道具:
Sfood:			食料:
Spotions:		薬:
Sscrolls:		巻物:
Sspell books:		魔法の本:
Swands:			杖:
Scoins:			金貨:
Srocks:			石:
Slarge stones:		巨石:
Siron balls:		鉄球:
Schains:		鎖:
Svenoms:		毒:
#
Sant or other insect:	蟻または他の昆虫:
Sblob:			ブロッブ:
Scockatrice:		コカトリス:
Sdog or other canine:	犬またはイヌ科の動物:
Seye or sphere:		目または球体:
Sfeline:		猫またはネコ科の動物:
Scat or other feline:	猫またはネコ科の動物:
Sgremlin:		グレムリン:
Shumanoid:		ヒューマノイド:
Simp or minor demon:	インプまたは下級悪魔:
Sjelly:			ゼリー:
Skobold:		コボルト:
Sleprechaun:		レプラコーン:
Smimic:			ミミック:
Snymph:			ニンフ:
Sorc:			オーク:
Spiercer:		穴喰い:
Squadruped:		四足動物:
Srodent:		齧歯動物:
Sarachnid or centipede:		クモ形類動物またはムカデ:
Strapper or lurker above:	トラッパーまたはラーカー:
Sunicorn:		ユニコーン:
Sunicorn or horse:	ユニコーンまたは馬:
Svortex:		渦:
Sworm:			ワーム:
Sxan or other mythical/fantastic insect:	ザンまたは神話やファンタジーの昆虫:
Slight:			光:
Szruty:			ズルティ:
Sangelic being:		天使:
Sbat:			こうもり:
Sbat or bird:		こうもりまたは鳥:
Scentaur:		ケンタウロス:
Sdragon:		ドラゴン:
Selemental:		精霊:
Sfungus or mold:	キノコまたはモールド:
Sgnome:			ノーム:
Sgiant humanoid:	巨人:
Sinvisible stalker:	透明ストーカー:
Sjabberwock:		ジャバウォック:
SKeystone Kop:		警備員:
Slich:			リッチ:
Smummy:			ミイラ:
Snaga:			ナーガ:
Sogre:			オーガ:
Spudding or ooze:	プリンまたはウーズ:
Squantum mechanic:	量子場:
Srust monster:		錆の怪物:
Srust monster or disenchanter:	錆の怪物または吸魔の怪物:
Ssnake:			ヘビ:
Stroll:			トロル:
Sumber hulk:		アンバーハルク:
Svampire:		吸血鬼:
Swraith:		レイス:
Sxorn:			ゾーン:
Sapelike creature:	猿のような生物:
Szombie:		ゾンビ:
Shuman:			人間:
Shuman or elf:		人間またはエルフ:
#Sranger:		レンジャー:
Sghost:			幽霊:
Sgolem:			ゴーレム:
Sdemon:			悪魔:
Smajor demon:		悪魔:
Ssea monster:		海の怪物:
Slizard:		トカゲ:
Slong worm tail:	ロングワームの尻尾:
#
#	part of room
#
Sdark part of a room:	部屋の暗い部分:
Swall:			壁:
Sdoorway:		出入口:
Sopen door:		開いた扉:
Sclosed door:		閉じた扉:
Sfloor of a room:	部屋の床:
Scorridor:		通路:
Slit corridor:		明るい通路:
Sstaircase up:		上り階段:
Sstaircase down:	下り階段:
Sladder up:		上りはしご:
Sladder down:		下りはしご:
Strap:			罠:
Sweb:			くもの巣:
Saltar:			祭壇:
Sopulent throne:	華やかな玉座:
Ssink:			流し台:
Sfountain:		泉:
Swater filled area:	水のたまった場所:
Swater:			水のたまった場所:
Sice:			氷:
Smolten lava:		溶岩:
Slowered drawbridge:	降りている跳ね橋:
Sraised drawbridge:	上っている跳ね橋:
Sair filled area:	空気のたまった場所:
Sair:			空気のたまった場所:
Scloud filled area:	曇:
Scloud:			曇:
Sgrave:			墓:
Stree:			木:
Siron bars:		鉄棒:
#
#	traps
#
^arrow trap:		矢の罠:
^dart trap:		投げ矢の罠:
^falling rock trap:	落石の罠:
^squeaky board:		きしむ板:
^beartrap:		トラバサミ:
^bear trap:		トラバサミ:
^land mine:		地雷:
^sleeping gas trap:	睡眠ガスの罠:
^hole:			穴:
^rust trap:		腐食の罠:
^fire trap:		火の罠:
^pit:			落し穴:
^spiked pit:		トゲだらけの落し穴:
^trapdoor:		落し扉:
^trap door:		落し扉:
^teleportation trap:	瞬間移動の罠:
^level teleporter:	別の階への瞬間移動の罠:
^magic portal:		魔法の入口:
^web:			くもの巣:
^statue trap:		彫像の罠:
^magic trap:		魔法の罠:
^anti-magic field:	反魔法空間の罠:
^anti-magic trap field:	反魔法空間の罠:
^polymorph trap:	変化の罠:
^rolling boulder trap:	巨岩の罠:
#
#	SKILLs
#
Kmartial arts:		体術:
Kbare handed combat:	素手:
Ktwo weapon combat:	二刀流:
Kriding:		騎乗:
Kdagger:		短剣:
Kaxe:			斧:
Kknife:			ナイフ:
Kpick-axe:		つるはし:
Kshort sword:		小剣:
Kbroadsword:		幅広の剣:
Klong sword:		長剣:
Ktwo-handed sword:	両手剣:
Kscimitar:		シミター:
Ksaber:			サーベル:
Kclub:			棍棒:
Kmace:			メイス:
Kquarterstaff:		六尺棒:
Kmorning star:		モーニングスター:
Kflail:			フレイル:
Khammer:		ハンマー:
Kpolearms:		長斧:
Kspear:			槍:
Kjavelin:		ジャベリン:
Ktrident:		トライデント:
Klance:			ランス:
Ksling:			スリング:
Kunicorn horn:		ユニコーンの角:
Kcrossbow:		クロスボゥ:
Kdart:			ダーツ:
Kboomerang:		ブーメラン:
Kwhip:			鞭:
Kshuriken:		手裏剣:
Kbow:			弓:
Kdivination spells:	予知:
Kattack spells:		攻撃:
Kescape spells:		脱出:
Kmatter spells:		物質:
Khealing spells:	治癒:
Kenchantment spells:	補助:
Kclerical spells:	僧侶:
